identifier,mol,flag
1ej1_1,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P]([O-])(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0
1ej1_10,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0
1ej1_11,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0
1ej1_12,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=CC=C7,0
1ej1_13,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=CC=C7,0
1ej1_14,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=C(F)C=C7,0
1ej1_15,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=C(F)C=C7,0
1ej1_16,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=[N+](CC6=CC=C(F)C=C6)C7=C5N=C(N)NC7=O)C(C)(C)C)C=C2,0
1ej1_17,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=[N+](CC6=CC=CC=C6)C7=C5N=C(N)NC7=O)C(C)(C)C)C=C2,0
1ej1_18,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=NC6=C5N=C(N)NC6=O)C(C)(C)C)C=C2,0
1ej1_2,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)NCCCCCC(=O)N[C@@H]4CCC=C5C4CN([C@H]6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=CC=C7,0
1ej1_3,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)NCCCCCC(=O)N[C@@H]4CCC=C5C4CN([C@H]6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=C(F)C=C7,0
1ej1_4,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[S](=O)(=O)NC(=O)CCC(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=C(F)C=C7,0
1ej1_5,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[S](=O)(=O)NC(=O)CCC(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=CC=C7,0
1ej1_6,NC1=NC2=C(N=C[N]2[C@@H]3O[C@H](CO[S](=O)(=O)NC(=O)CCC(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)C(=O)N1,0
1ej1_7,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=C(F)C=C7,0
1ej1_8,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=CC=C7,0
1ej1_9,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0
1err_1,CCN(CCOCCOCCOCC#CC1=CC=CC2=C1CN(C3CCC(=O)NC3=O)C2=O)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1err_10,CCN(CCCCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_11,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(C)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C(C)(C)C)C6=CC=C(C=C6)C7=C(C)N=CS7,0
1err_12,CC(C)N(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_13,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C(C)(C)C)C(C)(C)C)C6=CC=C(C=C6)C7=C(C)N=CS7,1
