identifier,mol,flag,mol_,cluster,stratify_key
1ej1_1,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P]([O-])(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8bdf0>,0,0-0
1ej1_10,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b490>,0,0-0
1ej1_11,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b120>,0,0-0
1ej1_12,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=CC=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8ba30>,0,0-0
1ej1_13,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=CC=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b9e0>,0,0-0
1ej1_14,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=C(F)C=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b850>,0,0-0
1ej1_15,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=C(F)C=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b4e0>,0,0-0
1ej1_16,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=[N+](CC6=CC=C(F)C=C6)C7=C5N=C(N)NC7=O)C(C)(C)C)C=C2,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b7b0>,0,0-0
1ej1_17,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=[N+](CC6=CC=CC=C6)C7=C5N=C(N)NC7=O)C(C)(C)C)C=C2,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8ba80>,0,0-0
1ej1_18,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=NC6=C5N=C(N)NC6=O)C(C)(C)C)C=C2,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b5d0>,0,0-0
