identifier,mol,flag,mol_,cluster,stratify_key
5gmp_12,COC1=CC(=CC=C1NC2=NC=C3C(=CC(=O)N(C4=CC(=CC=C4)NC(=O)C=C)C3=N2)C)N5CCN(CC5)C(=O)CCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa5066800>,0,0-0
3k6p_15,COC1=CC(=CC=C1OCC2=CC=C(C=C2C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)NCCOCCOCCNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9a1ad580>,10,10-0
3k6p_2,COC1=CC(=CC=C1OC2=CC=C(C=C2C(F)(F)F)C#N)\C=C\3SC(=O)N(CC4=C[N](CCCNC(=O)[C@@H](N)CC5=C[NH]C=N5)N=N4)C3=O,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9a1ade90>,11,11-1
6nuq_19,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)C(F)(F)[P](O)(O)=O)C(=O)N12)C(=O)CCCCCC#CC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O)C(=O)NCC8=CC=CC=C8,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa43d5bc0>,0,0-1
5v9o_5,OC1=CC2=C(C=CC=C2)C(=C1)C3=C(F)C4=NC(=NC(=C4C=C3Cl)N5CCN(CC5)C(=O)C=C)NCCOCCOCCOCCOC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa413e710>,0,0-0
1hwk_25,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fcab490>,0,0-1
4im0_17,CN(CCCNC1=NC(=NC=C1)NC2=CC=C(OCCCOCCCCOCCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa47dcdf0>,2,2-0
4im0_15,CN(CCCNC1=NC(=NC=C1Br)NC2=CC=C(OCCOCCOCCCCOCCCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa47dc260>,0,0-1
4ipf_9,CCOC1=CC(=CC=C1C2=NC(C(N2C(=O)N3CCN(CC3)C(=O)CCCCC#CC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)C7=CC=C(Cl)C=C7)C8=CC=C(Cl)C=C8)C(C)(C)C,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4504710>,1,1-0
4qnq_57,CN[C@@H](C)C(=O)N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C3=NC(=CS3)C(=O)C4=CC(=CC=C4)OCCOCCOCC(=O)N5CCN(CC[C@H](CSC6=CC=CC=C6)NC7=CC=C(C=C7[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C8=CC=C(C=C8)N9CCN(CC9)CC%10=C(CCC(C)(C)C%10)C%11=CC=C(Cl)C=C%11)CC5,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa46e88a0>,3,3-1
6p3d_1,COC1=CC(=C(/C=C/[S](=O)(=O)CC2=CC=C(OC)C(=C2)CC(=O)NCC(=O)NC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)C(=C1)OC)OC,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa59ba030>,0,0-1
4qnq_3,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCC(=O)N2CCN(CC[C@H](CSC3=CC=CC=C3)NC4=CC=C(C=C4[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C5=CC=C(C=C5)N6CCN(CC6)CC7=C(CCC(C)(C)C7)C8=CC=C(Cl)C=C8)CC2)C(C)(C)C)C9=CC=C(C=C9)C%10=C(C)N=CS%10,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4643b20>,7,7-0
6nuq_17,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)C(F)(F)[P](O)(O)=O)C(=O)N12)C(=O)CCCCCC#CC5=CC=C6C(=C5)CN(C7CCC(=O)NC7=O)C6=O)C(=O)NC(C8=CC=CC=C8)C9=CC=CC=C9,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa43d5670>,9,9-1
1err_4,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4036ad0>,0,0-1
4ipf_11,CCOC1=CC(=CC=C1C2=NC(C(N2C(=O)N3CCN(CC3)C(=O)CNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C7=CC=C(Cl)C=C7)C8=CC=C(Cl)C=C8)C(C)(C)C,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd7c850>,5,5-0
3k6p_22,COC1=CC(=CC=C1OCC2=CC=C(C=C2C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)NCCOCCOCCNC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC3=CC=CC=C3,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa5107d50>,5,5-0
2vti_3,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCN(CC3)C(=O)CCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)Cl,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa40fb260>,0,0-0
1err_6,CCN(CCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4036df0>,0,0-0
6ny4_2,FC1=CC=C(F)C(=C1)CNC2=NC(=NC=C2Cl)NC3=C[N](CCCCCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)N=C3,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa59bad00>,0,0-0
5g0j_2,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCC[N]3C=C(CCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=N3)C=C2,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa56c0cb0>,0,0-1
6ny4_5,C[N]1C=C(NC2=NC=C(Cl)C(=N2)NCC3=CC(=CC(=C3F)OCCCCCCCCCC(=O)N[C@@H](C(=O)N4C[C@@H](O)C[C@@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)F)C=N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa59ba170>,0,0-0
2gqg_19,CC1=NC(=CC(=N1)N2CCN(CC2)C(=O)CCCCNC(=O)CCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)NC6=NC=C(S6)C(=O)NC7=C(C)C=CC=C7Cl,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa496c350>,1,1-0
2gqg_36,CC1=NC(=CC(=N1)N2CCN(CC2)C(=O)CCCC3=C[N](CCOCCOCCOCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)N=N3)NC7=NC=C(S7)C(=O)NC8=C(C)C=CC=C8Cl,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd54850>,0,0-1
5t8e_61,CC1(C)C(NC(=O)C2=CC=C(C=C2)C(=O)NCCCCCCCCCCC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)C(C)(C)C1OC6=CC=C(C#N)C(=C6)Cl,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9ff65620>,7,7-0
5j8o_28,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=C9OCCOC9=C8,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd47b70>,0,0-0
5ehr_20,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCCCCCCN2CCN(CC2)C(=O)CCC(=O)NC3=C(Cl)C(=CC=C3)SC4=NC=C(N=C4N)N5CCC(C)(N)CC5)C(C)(C)C)C6=CC=C(C=C6)C7=C(C)N=CS7,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e5dc10>,0,0-1
3mxf_1,CC1=C(C)C2=C(S1)[N]3C(=NN=C3[C@H](CC(=O)NCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)N=C2C7=CC=C(Cl)C=C7)C,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9f7c1ee0>,0,0-1
5l2i_12,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)NC2=C(F)C=CC=C2F)NC(=O)CCOCCOCCOCCNC(=O)CN3CCN(CC3)C4=CC=C(NC5=CC6=C(C=N5)C(=C(C(C)=O)C(=O)N6C7CCCC7)C)N=C4)C(C)(C)C,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd478a0>,2,2-0
5eu1_11,COC1=CC(=CC(=C1CN2CCN(CC2)C(=O)COCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)OC)C6=CN(C)C(=O)C7=CN=CC=C67,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa46af2b0>,0,0-0
6mx8_10,COC1=CC(=CC=C1NC2=NC=C(Cl)C(=N2)NC3=CC=CC=C3[P](C)(C)=O)N4CCC(CC4)NC(=O)CCCCCCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC6=CC=C(C=C6)C7=C(C)N=CS7)C(C)(C)C,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4951120>,0,0-1
5v9o_14,OC1=CC2=C(C=CC=C2)C(=C1)C3=C(F)C4=NC(=NC(=C4C=C3Cl)N5CCN(CC5)C(=O)C=C)NCCOCCCN6CCN(CCOCCNC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O)CC6,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4366df0>,0,0-0
1hwk_39,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCCOCCCC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fcab530>,0,0-1
1hwk_30,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fcab170>,1,1-0
4ci3_12,O=C1CCC(N2C(=O)C3=C(C2=O)C(=CC=C3)NCCCOCCOCCOCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(=O)N1,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4521c10>,0,0-1
6xjk_15,C[N]1C=C(NC2=NC=C(Cl)C(=N2)NCC3=CC(=CC(=C3F)OCCOCCOCCOCCOCCOCCOCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)F)C=N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa44f6260>,0,0-0
1hwk_28,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fcab260>,7,7-0
6nuq_11,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)C(F)(F)[P](O)(O)=O)C(=O)N12)C(=O)N5CCC(CCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)CC5)C(=O)NC(C9=CC=CC=C9)C%10=CC=CC=C%10,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa43d5300>,1,1-1
3hll_5,CC1=CC(=C(Br)C(=O)N1C2=CC(=CC=C2C)C(=O)NCCOCCOCCNC(=O)C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)C(=O)C4=C3)OCC6=CC=C(F)C=C6F,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa43bc7b0>,0,0-1
5t8e_30,CC(C)C(C(=O)N1C[C@H](O)CC1C(=O)NC(CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(C=C4)[S](=O)(=O)CC(C)(O)C(=O)NC5=CC=C(C#N)C(=C5)C(F)(F)F)C6=CC=C(C=C6)C7=C(C)N=CS7)C8=CC(=NO8)C,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4d58c60>,13,13-0
4qnq_41,CC1(C)CCC(=C(CN2CCN(CC2)C3=CC=C(C=C3)C(=O)N[S](=O)(=O)C4=CC=C(N[C@@H](CCN5CCN(CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)CC5)CSC9=CC=CC=C9)C(=C4)[S](=O)(=O)C(F)(F)F)C1)C%10=CC=C(Cl)C=C%10,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4643120>,0,0-1
4qnq_40,CC1(C)CCC(=C(CN2CCN(CC2)C3=CC=C(C=C3)C(=O)N[S](=O)(=O)C4=CC=C(N[C@@H](CCN5CCN(CCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)CC5)CSC9=CC=CC=C9)C(=C4)[S](=O)(=O)C(F)(F)F)C1)C%10=CC=C(Cl)C=C%10,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4643e90>,0,0-1
2euf_15,COC1=CC=C(C(=C1)OC(C)C)C2=N[C@@H]([C@@H](N2C(=O)N3CCN(CC(=O)NCCOCCOCC[N]4C=C(CN5CCN(CC5)C6=CC=C(NC7=NC=C8C(=C(C(C)=O)C(=O)N(C9CCCC9)C8=N7)C)N=C6)N=N4)C(=O)C3)C%10=CC=C(Cl)C=C%10)C%11=CC=C(Cl)C=C%11,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa472d580>,7,7-0
5uiu_2,COC1=CC2=C(C=C1C(N)=O)C(=CN=C2OC[C@@H]3CCC(=O)N3)C#CCCCCCCCCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa55cdb20>,0,0-1
6y7k_4,COC1=CC=C(C=C1OCC(=O)NCCCCCCOC2=CC=CC3=C2C(=O)N(C4CCC(=O)NC4=O)C3=O)C5=CN(C)C(=O)C6=C5SC(=C6)C(=N)NC7CC[S](=O)(=O)CC7,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa44f6bc0>,0,0-1
4ci3_1,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(C)(C)C)C=C2,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4521670>,0,0-0
6gfz_4,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCCCOCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(C)(C)C)C=C2,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa47d75d0>,0,0-1
4im0_4,CN(CCCNC1=NC(=NC=C1Br)NC2=CC=C(OCCCOCCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd7c8f0>,0,0-0
3ert_1,CC/C(C1=CC=CC=C1)=C(C2=CC=C(O)C=C2)/C3=CC=C(OCCN(C)C(=O)CCNC(=O)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC4=CC=CC=C4)C=C3,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa57d2f80>,5,5-1
